" (no data)"," （无数据）"
"DB Table Prefix","DB 表前缀"
"DB Tables","DB 表"
"DB Tables Status","DB 表状态"
"DB Triggers List","DB 触发器列表"
"DB Version","DB 版本"
"Data","数据"
"Data Count","数据计数"
"Data from app/etc/config.xml","来自 app/etc/config.xml 的数据"
"Data from app/etc/enterprise.xml","来自 app/etc/enterprise.xml 的数据"
"Data from app/etc/local.xml","来自 app/etc/local.xml 的数据"
"Date","日期"
"Date Generated","生成的日期"
"Default Store","默认店铺"
"Default Store View","默认店铺视图"
"Default Theme","默认主题"
"Delete","删除"
"Description","描述"
"Design","设计"
"Design Themes Config","设计主题配置"
"Directory %s should have writable & readable permissions","目录 %s 应具有可写与可读权限"
"Disabled","已禁用"
"Disabled Modules List","禁用的模块列表"
"Document Root","文档根目录"
"Download","下载"
"Duplicate Categories by URL key","按 URL 密钥显示重复类别"
"Duplicate Orders By Increment ID","按增量 ID 显示重复订单"
"Duplicate Products By SKU","按 SKU 显示重复产品"
"Duplicate Products By URL Key","按 URL 密钥显示重复产品"
"Email","电子邮件"
"Empty log","空日志"
"Enable Log","启用日志"
"Enabled","已启用"
"Engine","引擎"
"Enterprise Admin Events","企业管理员事件"
"Enterprise Configurable Cron Jobs","企业可配置的 Cron 作业"
"Enterprise Global Cron Jobs","企业全局 Cron 作业"
"Enterprise Global Events","企业全局事件"
"Enterprise Modules List","企业模块列表"
"Entity","实体"
"Entity Type Code","实体类型代码"
"Entity Types","实体类型"
"Environment","环境"
"Environment Information","环境信息"
"Error","错误"
"Errors in Cron Schedules Queue","Cron 排程队列出错"
"Event Name","事件名称"
"Events","事件"
"Executed At","执行于"
"Expand","展开"
"Expected Children Count","预计子类计数"
"Expected Level","预计级别"
"Extra","额外"
"Factory Name","工厂名称"
"Failed","已失败"
"File","文件"
"File Name","文件名"
"File Rewrites","文件重写"
"File does not exist","文件不存在"
"File is not readable","文件不可读"
"File is too big","文件过大"
"Files","文件"
"Files Count","文件计数"
"Files Permissions","文件权限"
"Finished At","完成于"
"Fixed Product Taxes (FPT)","固定产品税 (FPT)"
"Flat Catalog Category","平面目录类别"
"Flat Catalog Product","平面目录产品"
"For Checkout","用于结账"
"For Multishipping","为多重运送"
"From","来自"
"Frontend Model","前端模式"
"Full Page Cache Crawler","整页缓存抓取工具"
"Fully completed: %s","全面完成：%s"
"General","常规"
"Google Checkout Shipping - Carrier Calculated","Google Checkout 送货 - 承运人计算"
"Google Checkout Shipping - Digital Delivery","Google Checkout 送货 - 数字交付"
"Google Checkout Shipping - Flat Rate","Google Checkout 送货 - 平坦费率"
"Google Checkout Shipping - Merchant Calculated","Google Checkout 送货 - 分行计算"
"Group","分组"
"ID","ID"
"Incomplete","未完成"
"Increment ID","增量 ID"
"Increment Model","增量模型"
"Index","索引"
"Index Status","索引状态"
"Input command to run list is empty","输入命令来运行列表为空"
"Invalidated","撤销"
"Is Active","为活动状态"
"Is Default","为默认值"
"Is Gateway","是网关"
"Is Visible","为可见状态"
"Job Code","作业代码"
"Keys:","密钥："
"Last Occurrence","最近一次发生"
"Last Update","最后更新"
"Layouts Theme","布局主题"
"Log Customers","记录客户"
"Log Details","记录详情"
"Log Entries","日志条目"
"Log Files","日志文件"
"Log Quotes","记录报价"
"Log Tables Cleaning","记录桌面清洗"
"Log URLs","记录 URL"
"Log Visitors","记录访客"
"Log Visitors Online","记录在线访客"
"Logs","日志"
"Magento Version","Magento 版本"
"Main Table","主表"
"Maintenance Mode","维护模式"
"Manage Backups","管理备份"
"Manage Reports","管理报告"
"Manage System Backups","管理系统备份"
"Manage System Reports","管理系统报告"
"Merge CSS Files","合并CSS文件"
"Merge JavaScript Files","合并JavaScript文件"
"Message","信息"
"Method","方式"
"Missing Core Files","缺少核心文件"
"Missing Core Tables","缺少核心表"
"Missing DB Routines List","缺少 DB 例程列表"
"Missing DB Triggers List","缺少 DB 触发器列表"
"Missing Data","缺少数据"
"Mode","模式"
"Model","模型"
"Modified Core Files","修改后的核心文件"
"Modified Core Tables","修改后的核心表"
"Module","模块"
"Modules","模块"
"MySQL Configuration","MySQL 配置"
"MySQL Databases Present","MySQL 数据库现状"
"MySQL Plugins","MySQL 插件"
"MySQL Server Version","MySQL 服务器版本"
"MySQL Status","MySQL 状态"
"MySQL Supported Engines","MySQL 支持的引擎"
"Name","姓名"
"Never","永不"
"New Backup","新建备份"
"New Class","新类"
"New DB Routines List","新建 DB 例程列表"
"New DB Tables","新建 DB 表"
"New DB Triggers List","新建 DB 触发器列表"
"New Data","新建数据"
"New Eav Attributes","新建 Eav 属性"
"New Files","新建文件"
"New Report","新建报告"
"No","否"
"No data","无数据"
"No types were specified to generate system report.","没有指定生成系统报告所需的类型。"
"Not Compiled","未编译"
"Not completed at all: %s","完全未完成：%s"
"OS Information","OS 信息"
"OS X","OS X"
"Observer Class","观察者类"
"Original Class","初始类"
"Output","输出"
"Owner","所有者"
"PHP Additional .ini files parsed","PHP 附加 .ini 文件已解析"
"PHP Configuration","PHP 配置"
"PHP Loaded Config File","PHP 已加载配置文件"
"PHP Loaded Modules","PHP 已加载模块"
"PHP Version","PHP版本"
"Parameter","参数"
"Partial Capture Offline","离线部分捕获"
"Partial Capture Online","在线部分捕获"
"Partial Refund Offline","离线部分退款"
"Partial Refund Online","在线部分退款"
"Partially completed: %s","部分完成：%s"
"Patch","修补"
"Patch Files List","修补文件列表"
"Path","路径"
"Payment Methods","支付方式"
"Payments Functionality Matrix","付款功能矩阵"
"Payments Functionality Matrix is not available. ReflectionProperty::setAccessible is required for data collection, but it was implemented in PHP 5.3.0; your PHP version is lower.","付款功能矩阵不可用。ReflectionProperty::setAccessible 为数据采集所必须，但它包含于 PHP 5.3.0；您的 PHP 版本过低。"
"Permissions","权限"
"Please select report(s) to delete.","请选择要删除的报告。"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","正在准备系统报告数据：检测到单行模式，但数据可能不完整。"
"Processing","正在处理"
"Processing ...","正在处理 ..."
"Product Attributes","产品属性"
"Product Attributes Flat Table Row Size","产品属性平面表的行大小"
"Product Eav Attributes","产品 Eav 属性"
"Product Types:","产品类型："
"Ready","就绪"
"Refresh Status","刷新状态"
"Refund Offline","离线退款"
"Refund Online","在线退款"
"Reindex Required","需要重新索引"
"Remote Address","远程地址"
"Report","报告"
"Report Types","报告类型"
"Report Version","报告版本"
"Requested report doesn't exist","请求的报告不存在"
"Requested system report has no data to display.","请求的系统报告没有可显示的数据。"
"Requested system report has no data to output.","请求的系统报告没有可输出的数据。"
"Requested system report no longer exists.","请求的系统报告已不存在。"
"Returns:","返回："
"Reversion","恢复"
"Rewrites","重写"
"Rma Item Eav Attributes","RMA 项目 Eav 属性"
"Root Category","Root Category"
"Router Rewrites","路由器重写"
"Routine Name","常规名称"
"Run Class","运行类"
"Run Method","运行方法"
"SKU","SKU"
"Sales Orders","销售订单"
"Schedule Id","排程 Id"
"Scheduled","已计划"
"Scheduled At","排程于"
"Scope","范围"
"Scopes Count","范围计数"
"Search Engine","搜索引擎"
"Server Address","服务器地址"
"Shipping Methods","运送方式"
"Shopping Cart Price Rules","购物车价格规则"
"Show Log","显示日志"
"Size","尺寸"
"Skin (Images / CSS)","皮肤（图片/CSS）"
"Skins List","皮肤列表"
"Solr Search","Solr 搜索"
"Solution","解决方案"
"Solution Version","解决方案版本"
"Source Model","源型号"
"State","州"
"Status","状态"
"Status Code","状态代码"
"Store","商店"
"Store Views List","店铺视图列表"
"Stores","店铺"
"Stores List","店铺列表"
"Support","支持"
"Support Module doesn't support %s operation system","支持模块不支持 %s 操作系统"
"System Backups","系统备份"
"System Report Information","系统报告信息"
"System Reports","系统报告"
"TOTALS:","总计："
"Target Rules","目标规则"
"Tax Rules","税务规则"
"Templates Theme","模板主题"
"The backup has been deleted.","此备份已被删除。"
"The backup has been saved.","此备份已保存。"
"The system report has been deleted.","此系统报告已被删除。"
"The system report has been generated.","此系统报告已生成。"
"Themes List","主题列表"
"There was an error while loading system report data.","加载系统报告数据时出现错误。"
"Title","标题"
"To","发送至"
"Today's Top Exception Messages","今日最需要关注的异常消息"
"Today's Top System Messages","今日最需要关注的系统消息"
"Top","顶部"
"Top Exception Messages","最需要关注的异常消息"
"Top System Messages","最需要关注的系统消息"
"Total of %d system report(s) have been deleted.","共有 %d 个系统报告已被删除。"
"Translations Theme","翻译主题"
"Type","类型"
"Types","类型"
"URL Redirects","URL 重定向"
"URL Rewrites","URL重写"
"URL key","URL 密钥"
"Unable to find a system report to delete.","无法找到需要删除的系统报告。"
"Unable to generate HTML system report.","无法生成 HTML 系统报告。"
"Unable to read system report data to display.","无法读取需要显示的系统报告数据。"
"Unknown Status","位置状态"
"Update Required","需要更新"
"Update Time","更新时间"
"Updated At","更新于"
"Use HTTP Only","仅使用HTTP"
"Use SID on Frontend","在前端使用 SID"
"User Defined","用户定义"
"User Defined Eav Attributes","用户定义的 Eav 属性"
"VIA PBridge","VIA PBridge"
"Validate HTTP_USER_AGENT","验证 HTTP_USER_AGENT"
"Validate HTTP_VIA","验证 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","验证 HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","验证 REMOTE_ADDR"
"Value","值"
"Value after 10 sec","10 秒后的值"
"Variable","变量"
"Version","Version"
"View","查看"
"Void","无效"
"Warning","警告"
"Website","Website"
"Websites List","网站列表"
"Websites Tree","网站树"
"Windows","Windows"
"Wrong param id","错误的参数 id"
"Yes","是"
"You are running the sysreport tool on Magento Enterprise Edition %s. This version of Magento is currently not compatible with the tool.","您正在你在 Magento 企业版 %s 上运行 sysreport 工具。此版本的 Magento 当前不兼容此工具。"
"[%s days ago]","[%s 天前]"
"[%s hours ago]","[%s 小时前]"
"[%s minutes ago]","[%s 分钟前]分钟前"
"[%s months ago]","[%s 个月前]"
"[%s weeks ago]","[%s 周前]"
"[%s years ago]","[%s] 年前"
"[Default]","[默认]"
"[VIEW]","[视图]"
"bytes","字节"
"n/a","不可用"
"~ Rows","~ 行"
"~ Size","~ 大小"
