" (no data)","(sem dados)"
"Core Action(s)","Ações Essenciais"
"Core Admin Events","Eventos de Admin Essenciais"
"Core Cache Records","Registros de Cache Essenciais"
"Core Cache Tags","Tags de Cache Essenciais"
"Core Configurable Cron Jobs","Tarefas Cron Configuráveis Essenciais"
"Core Controller","Controlador Essencial"
"Core File","Arquivo Essencial"
"Core Global Cron Jobs","Tarefas Cron Globais Essenciais"
"Core Global Events","Eventos Globais Essenciais"
"Core Modules List","Lista de Módulos Essencial"
"Core Pool","Pool Essencial"
"Corrupted Categories Data","Dados de Categorias Corrompidos"
"Corrupted Data","Dados Corrompidos"
"Count","Contagem"
"Create","Criar"
"Create System Report","Criar Relatório do Sistema"
"Create Time","Hora da Criação"
"Created At","Criada Em"
"Cron","Cron"
"Cron Expression","Expressão Cron"
"Cron Schedules List","Lista de Agendamento Cron"
"Cron Schedules by job code","Agendamento Cron por código de tarefa"
"Cron Schedules by status code","Agendamento Cron por código de status"
"Current Package Name","Nome do pacote atual"
"Custom Action(s)","Ações Personalizadas "
"Custom Admin Events","Eventos do Admin. Personalizados"
"Custom Configurable Cron Jobs","Tarefas Cron Configuráveis Personalizadas"
"Custom Controller","Controlador Personalizado"
"Custom Global Cron Jobs","Tarefas Cron Globais Personalizadas"
"Custom Global Events","Eventos Globais Personalizados"
"Custom Modules List","Lista de Módulos Personalizada"
"Custom Pool","Pool Personalizada"
"Customer Address Attributes","Atributos de Endereço do Cliente"
"Customer Address Eav Attributes","Atributos EAV de Endereço do Cliente"
"Customer Attributes","Atributos de Cliente"
"Customer Eav Attributes","Atributos EAV de Cliente"
"Customer ID","ID do Cliente"
"Customer Segment Functionality","Funcionalidade do Segmento Cliente"
"Customer Segments","Segmentos do cliente"
"Customers","Clientes"
"DB Data Version","Versão dos Dados DB"
"DB Dump","Dump de DB"
"DB MyISAM Tables Status","Status de Tabelas DB MyISAM"
"DB Routines List","Lista de Rotinas DB"
"DB Table Prefix","Prefixo de Tabela DB"
"DB Tables","Tabelas DB"
"DB Tables Status","Status de Tabelas DB"
"DB Triggers List","Lista de Gatilhos DB"
"DB Version","Versão do DB"
"Data","Dados"
"Data Count","Contagem de Dados"
"Data from app/etc/config.xml","Dados de app/etc/config.xml"
"Data from app/etc/enterprise.xml","Dados de app/etc/enterprise.xml"
"Data from app/etc/local.xml","Dados de app/etc/local.xml"
"Date","Data"
"Date Generated","Dados Gerados"
"Default Store","Loja padrão"
"Default Store View","Visualização padrão de loja"
"Default Theme","Tema padrão"
"Delete","Excluir"
"Description","Descrição"
"Design","Design"
"Design Themes Config","Projetar Config de Temas"
"Directory %s should have writable & readable permissions","Diretório %s deve ter permissões de gravação e leitura"
"Disabled","Desativado"
"Disabled Modules List","Lista de Módulos Desabilitada"
"Document Root","Raiz de Documento"
"Download","Baixar"
"Duplicate Categories by URL key","Duplicar Categorias por chave de URL"
"Duplicate Orders By Increment ID","Duplicar Pedidos por Incremento de ID"
"Duplicate Products By SKU","Duplicar Produtos por SKU"
"Duplicate Products By URL Key","Duplicar Produtos por Chave de URL"
"Email","E-mail"
"Empty log","Esvaziar Log"
"Enable Log","Habilitar Log"
"Enabled","Ativado"
"Engine","Engine"
"Enterprise Admin Events","Eventos do Admin. Empresariais"
"Enterprise Configurable Cron Jobs","Tarefas Cron Configuráveis Empresariais"
"Enterprise Global Cron Jobs","Tarefas Cron Globais Empresariais"
"Enterprise Global Events","Eventos Globais Empresariais"
"Enterprise Modules List","Lista de Módulos Empresarial"
"Entity","Entidade"
"Entity Type Code","Código de Tipo de Entidade"
"Entity Types","Tipos de Entidade"
"Environment","Ambiente"
"Environment Information","Informações de Ambiente"
"Error","Erro"
"Errors in Cron Schedules Queue","Erros na Fila de Agendamento Cron"
"Event Name","Nome do Evento"
"Events","Eventos"
"Executed At","Executado Em"
"Expand","Expandir"
"Expected Children Count","Contagem de Filhos Estimada"
"Expected Level","Nível Estimado"
"Extra","Extra"
"Factory Name","Nome Fábrica"
"Failed","Falha"
"File","Arquivo"
"File Name","Nome do arquivo"
"File Rewrites","Regravações de Arquivo"
"File does not exist","Arquivo inexistente"
"File is not readable","Arquivo não é legível"
"File is too big","Arquivo é muito grande"
"Files","Arquivos"
"Files Count","Contagem de Arquivos"
"Files Permissions","Permissões de Arquivos"
"Finished At","Concluído Em"
"Fixed Product Taxes (FPT)","Impostos Fixos no Produto (FPT)"
"Flat Catalog Category","Categoria de Catálogo Flat"
"Flat Catalog Product","Produto de Catálogo Flat"
"For Checkout","Para Finalizar Compra"
"For Multishipping","Para Envio Múltiplo"
"From","De"
"Frontend Model","Modelo para Início de Processo"
"Full Page Cache Crawler","Crawler de Cache de Página Inteira"
"Fully completed: %s","Totalmente concluído: %s"
"General","Geral"
"Google Checkout Shipping - Carrier Calculated","Verificação de Frete do Google - Cálculo de Transporte"
"Google Checkout Shipping - Digital Delivery","Verificação de Frete do Google - Entrega Digital"
"Google Checkout Shipping - Flat Rate","Verificação de Frete do Google - Taxa Fixa"
"Google Checkout Shipping - Merchant Calculated","Verificação de Frete do Google - Cálculo Comercial"
"Group","Grupo"
"ID","Identidade"
"Incomplete","Incompleto"
"Increment ID","Incremento de ID"
"Increment Model","Modelo de Incremento"
"Index","Índice"
"Index Status","Status do Índice"
"Input command to run list is empty","Comando de entrada para executar lista está vazio"
"Invalidated","Invalidado"
"Is Active","Está Ativo"
"Is Default","É padrão"
"Is Gateway","É Gateway"
"Is Visible","Está Visível"
"Job Code","Código de Tarefas"
"Keys:","Chaves:"
"Last Occurrence","Última Ocorrência"
"Last Update","Última Atualização"
"Layouts Theme","Tema de Layouts"
"Log Customers","Log de Clientes"
"Log Details","Detalhes de Log"
"Log Entries","Entradas de Log"
"Log Files","Arquivos de Log"
"Log Quotes","Cotações de Log"
"Log Tables Cleaning","Limpeza de Tabelas de Log"
"Log URLs","URLs de Log"
"Log Visitors","Log de Visitantes"
"Log Visitors Online","Log de Visitantes Online"
"Logs","Logs"
"Magento Version","Versão de Magento"
"Main Table","Tabela Principal"
"Maintenance Mode","Modo de manutenção"
"Manage Backups","Gerenciar Backups"
"Manage Reports","Gerenciar Relatórios"
"Manage System Backups","Gerenciar Backups do Sistema"
"Manage System Reports","Gerenciar Relatórios do Sistema"
"Merge CSS Files","Fusão de Arquivos CSS"
"Merge JavaScript Files","Fusão de Arquivos JavaScript"
"Message","Mensagem"
"Method","Método"
"Missing Core Files","Arquivos Essenciais Faltando"
"Missing Core Tables","Tabelas Essenciais Faltando"
"Missing DB Routines List","Lista de Rotinas DB Faltando"
"Missing DB Triggers List","Lista de Gatilhos DB Faltando"
"Missing Data","Dados Faltando"
"Mode","Modo"
"Model","Modelo"
"Modified Core Files","Arquivos Essenciais Modificados"
"Modified Core Tables","Tabelas Essenciais Modificadas"
"Module","Módulo"
"Modules","Módulos"
"MySQL Configuration","Configuração do MySQL"
"MySQL Databases Present","Banco de Dados MySQL Presente"
"MySQL Plugins","Plugins do MySQL"
"MySQL Server Version","Versão do Servidor MySQL"
"MySQL Status","Status do MySQL"
"MySQL Supported Engines","Engines Suportadas pelo MySQL"
"Name","Nome"
"Never","Nunca"
"New Backup","Novo Backup"
"New Class","Nova Classe"
"New DB Routines List","Nova Lista de Rotinas DB"
"New DB Tables","Novas Tabelas DB"
"New DB Triggers List","Nova Lista de Gatilhos DB"
"New Data","Novos Dados"
"New Eav Attributes","Novos Atributos EAV"
"New Files","Novos Arquivos"
"New Report","Novo Relatório"
"No","Não"
"No data","Sem dados"
"No types were specified to generate system report.","Nenhum tipo foi especificado para gerar o relatório de sistema."
"Not Compiled","Não compilado"
"Not completed at all: %s","Nem um pouco concluído: %s"
"OS Information","Informações de OS"
"OS X","OS X"
"Observer Class","Classe Observadora"
"Original Class","Classe Original"
"Output","Saída"
"Owner","Proprietário"
"PHP Additional .ini files parsed","Arquivos PHP .ini Adicionais analisados"
"PHP Configuration","Configuração do PHP"
"PHP Loaded Config File","Arquivo de Configuração Carregado do PHP"
"PHP Loaded Modules","Módulos Carregados do PHP"
"PHP Version","Versão PHP"
"Parameter","Parâmetro"
"Partial Capture Offline","Captura Parcial Offline"
"Partial Capture Online","Captura Parcial Online"
"Partial Refund Offline","Reembolso Parcial Offline"
"Partial Refund Online","Reembolso Parcial Online"
"Partially completed: %s","Parcialmente concluído: %s"
"Patch","Patch"
"Patch Files List","Lista de Arquivos de Patch"
"Path","Caminho"
"Payment Methods","Métodos de Pagamento"
"Payments Functionality Matrix","Matriz de Funcionalidades de Pagamento"
"Payments Functionality Matrix is not available. ReflectionProperty::setAccessible is required for data collection, but it was implemented in PHP 5.3.0; your PHP version is lower.","Matriz de Funcionalidades de Pagamento não está disponível. ReflectionProperty::setAccessible é necessário para a coleta de dados, mas foi implementado no PHP 5.3.0; a versão de seu PHP é mais antiga."
"Permissions","Permissões"
"Please select report(s) to delete.","Por favor, selecione relatório(s) para deletar."
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparando dados do relatório do sistema: Modo Linha Única Detectado, mas os dados podem estar incompletos."
"Processing","Processando"
"Processing ...","Processando ..."
"Product Attributes","Atributos do produto"
"Product Attributes Flat Table Row Size","Tamanho da Linha da Tabela Flat de Atributos de Produto"
"Product Eav Attributes","Atributos EAV de Produtos"
"Product Types:","Tipos de Produto:"
"Ready","Pronto"
"Refresh Status","Status de Atualizar"
"Refund Offline","Reembolso Offline"
"Refund Online","Reembolso Online"
"Reindex Required","Obrigatório Reindexar"
"Remote Address","Endereço Remoto"
"Report","Relatório"
"Report Types","Tipos de Relatório"
"Report Version","Versão do Relatório"
"Requested report doesn't exist","Relatório solicitado inexistente"
"Requested system report has no data to display.","Relatório do sistema solicitado não possui dados para exibir."
"Requested system report has no data to output.","Relatório do sistema solicitado não possui dados de saída."
"Requested system report no longer exists.","Relatório do sistema solicitado não existe mais."
"Returns:","Devoluções:"
"Reversion","Reversão"
"Rewrites","Regravações"
"Rma Item Eav Attributes","Atributos EAV de Item de RMA"
"Root Category","Root Category"
"Router Rewrites","Regravações de Router"
"Routine Name","Nome de Rotina"
"Run Class","Executar Classe"
"Run Method","Executar Método"
"SKU","Unidade de Manutenção de Estoque"
"Sales Orders","Pedidos de Venda"
"Schedule Id","Id de Agenda"
"Scheduled","Agendado"
"Scheduled At","Agendado Em"
"Scope","Limite"
"Scopes Count","Contagem de Escopos"
"Search Engine","Mecanismo de Busca"
"Server Address","Endereço de Servidor"
"Shipping Methods","Tipos de Frete"
"Shopping Cart Price Rules","Regras de Preços de Carrinho de Compras"
"Show Log","Exibir Log"
"Size","Tamanho"
"Skin (Images / CSS)","Skin (Imagens / CSS)"
"Skins List","Lista de Skins"
"Solr Search","Pesquisa Solr"
"Solution","Solução"
"Solution Version","Versão da Solução"
"Source Model","Modelo de Origem"
"State","Estado"
"Status","Status"
"Status Code","Código do status"
"Store","Loja"
"Store Views List","Lista de Visualizações da Loja"
"Stores","Lojas"
"Stores List","Lista de Lojas"
"Support","Suporte"
"Support Module doesn't support %s operation system","Módulo de Suporte não suporta o sistema operacional %s"
"System Backups","Backups de Sistema"
"System Report Information","Informações do Relatório do Sistema"
"System Reports","Relatórios do Sistema"
"TOTALS:","TOTAIS:"
"Target Rules","Regras Alvo"
"Tax Rules","Regras de Impostos"
"Templates Theme","Templates de Tema"
"The backup has been deleted.","O backup foi deletado."
"The backup has been saved.","O backup foi salvo."
"The system report has been deleted.","O relatório do sistema foi deletado."
"The system report has been generated.","O relatório do sistema foi gerado."
"Themes List","Lista de temas"
"There was an error while loading system report data.","Houve um erro ao carregar dados do relatório do sistema."
"Title","Título"
"To","Para"
"Today's Top Exception Messages","Principais Mensagens de Exceção do Dia"
"Today's Top System Messages","Principais Mensagens de Sistema do Dia"
"Top","Principal"
"Top Exception Messages","Principais Mensagens de Exceção"
"Top System Messages","Principais Mensagens de Sistema"
"Total of %d system report(s) have been deleted.","Um total de %d relatório(s) do sistema foi deletado."
"Translations Theme","Tema de Traduções"
"Type","Tipo"
"Types","Tipos"
"URL Redirects","URL redireciona"
"URL Rewrites","Reescrituras de URL"
"URL key","Chave de URL"
"Unable to find a system report to delete.","Não foi possível encontrar um relatório do sistema para deletar."
"Unable to generate HTML system report.","Não foi possível encontrar um relatório do sistema em HTML."
"Unable to read system report data to display.","Não foi possível ler o relatório do sistema para exibição."
"Unknown Status","Status desconhecido"
"Update Required","Atualização necessária"
"Update Time","Hora de Atualização"
"Updated At","Atualizado Em"
"Use HTTP Only","Usar apenas HTTP"
"Use SID on Frontend","Use SID no Frontend"
"User Defined","Definido pelo Usuário"
"User Defined Eav Attributes","Atributos EAV Definidos pelo Usuário"
"VIA PBridge","VIA PBridge"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Value","Valor"
"Value after 10 sec","Valor após 10 seg"
"Variable","Variável"
"Version","Version"
"View","Ver"
"Void","Anular"
"Warning","Aviso"
"Website","Website"
"Websites List","Lista de Websites"
"Websites Tree","Árvore de Websites"
"Windows","Janelas"
"Wrong param id","Id de parâm errada"
"Yes","Sim"
"You are running the sysreport tool on Magento Enterprise Edition %s. This version of Magento is currently not compatible with the tool.","Você está executando a ferramenta sysreport em Magento Enterprise Edition %s. Esta versão de Magento atualmente não é compatível com a ferramenta."
"[%s days ago]","[%s dias atrás]"
"[%s hours ago]","[%s horas atrás]"
"[%s minutes ago]","[%s minutos atrás]"
"[%s months ago]","[%s meses atrás]"
"[%s weeks ago]","[%s semanas atrás]"
"[%s years ago]","[%s anos atrás]"
"[Default]","[Padrão]"
"[VIEW]","[EXIBIR]"
"bytes","bytes"
"n/a","n/d"
"~ Rows","~ Linhas"
"~ Size","~ Tamanho"
